type,blockNumber,delegator,id,indexer,logIndex,shares,tokens
stakeDelegates,11752236,0x87793fabd5ff7fe501f87817c7f6ad2476e8eaa4,0x015781169f53141e357b21614f30b12622113528ebd95cdbc7e0aa89c5fb54f8-76,0xc430be492ddeb6e761dbbd0e08bafe99f5064d90,76,29694400573366431010454,33166335000000000000000
stakeDelegates,11752236,0x87793fabd5ff7fe501f87817c7f6ad2476e8eaa4,0x015781169f53141e357b21614f30b12622113528ebd95cdbc7e0aa89c5fb54f8-76,0xc430be492ddeb6e761dbbd0e08bafe99f5064d90,76,29694400573366431010454,33166335000000000000000
stakeDelegates,11756836,0xe5ebc11a7d40f81cf03124bdab7fac8ec81e1e0b,0x00993f4eee26550c1fd50b96e949b74fbebb6a799a5f8fbda9dc9d005d30776e-369,0xb06071394531b63b0bac78f27e12dc2beaa913e4,369,129447870302531034706591,132666663350000000000000
stakeDelegates,11756836,0xe5ebc11a7d40f81cf03124bdab7fac8ec81e1e0b,0x00993f4eee26550c1fd50b96e949b74fbebb6a799a5f8fbda9dc9d005d30776e-369,0xb06071394531b63b0bac78f27e12dc2beaa913e4,369,129447870302531034706591,132666663350000000000000
stakeDelegates,11760398,0x3b9047e53efc926468285b974d1fcb29452f8ce7,0x0049b19214b9bf28c70f2ce306ab9f34829e5dba7045b9f2b01d3fed8f090091-291,0x365507a4eef5341cf00340f702f7f6e74217d96e,291,9924299521394073041822208,9950000000000000000000000
stakeDelegates,11760398,0x3b9047e53efc926468285b974d1fcb29452f8ce7,0x0049b19214b9bf28c70f2ce306ab9f34829e5dba7045b9f2b01d3fed8f090091-291,0x365507a4eef5341cf00340f702f7f6e74217d96e,291,9924299521394073041822208,9950000000000000000000000
stakeDelegates,11771702,0x64b2b6ed128738c1144bc00d2c185ae0cf6751fe,0x013e4f01ccaded7759534631cfea3d596459184234443ec43c7c282292145be3-239,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,239,119177471520600404410295,124109663350000000000000
stakeDelegates,11771702,0x64b2b6ed128738c1144bc00d2c185ae0cf6751fe,0x013e4f01ccaded7759534631cfea3d596459184234443ec43c7c282292145be3-239,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,239,119177471520600404410295,124109663350000000000000
stakeDelegates,11773159,0xdede2d81bed45b3ead9ead6ceec7ff08c76e404e,0x00723c6a202c00c82a75b704cd833edc4b9999aa7bd40fa9d92973e6df024c55-341,0x5a8904be09625965d9aec4bffd30d853438a053e,341,1695564568062779505886,1742982681011179293838
stakeDelegates,11773159,0xdede2d81bed45b3ead9ead6ceec7ff08c76e404e,0x00723c6a202c00c82a75b704cd833edc4b9999aa7bd40fa9d92973e6df024c55-341,0x5a8904be09625965d9aec4bffd30d853438a053e,341,1695564568062779505886,1742982681011179293838
stakeDelegates,11776872,0xc7db5d1509343af4f82f3015fccbcf8bbd69c4dc,0x00ce6b04abb445658626a2e4d026b2c2cbc0dfe1b29f69c5e4aa14f008ce7510-307,0xb06071394531b63b0bac78f27e12dc2beaa913e4,307,80750132263929641692628,82916663350000000000000
stakeDelegates,11776872,0xc7db5d1509343af4f82f3015fccbcf8bbd69c4dc,0x00ce6b04abb445658626a2e4d026b2c2cbc0dfe1b29f69c5e4aa14f008ce7510-307,0xb06071394531b63b0bac78f27e12dc2beaa913e4,307,80750132263929641692628,82916663350000000000000
stakeDelegates,11777291,0x559a06a9dedcb960c13d2074b1512e06c2208d58,0x01474245c4ff5982ef02c69867e27e0b2a94c8f54f9c0e3d8e6ff3ac8d07c6ac-270,0xc60d0c8c74b5d3a33ed51c007ebae682490de261,270,5229043932297378958830,5428616619500000000000
stakeDelegates,11777291,0x559a06a9dedcb960c13d2074b1512e06c2208d58,0x01474245c4ff5982ef02c69867e27e0b2a94c8f54f9c0e3d8e6ff3ac8d07c6ac-270,0xc60d0c8c74b5d3a33ed51c007ebae682490de261,270,5229043932297378958830,5428616619500000000000
stakeDelegates,11784337,0x8585a861bc701e0f225e6e84d3d3ddbd4a2b9688,0x0107ac1555bfb38e58e8f40fbb74cfc568816d304b92a532a39821a54376833e-149,0x6125ea331851367716bee301ecde7f38a7e429e7,149,49679666250285158060738406,49750000000000000000000000
stakeDelegates,11784337,0x8585a861bc701e0f225e6e84d3d3ddbd4a2b9688,0x0107ac1555bfb38e58e8f40fbb74cfc568816d304b92a532a39821a54376833e-149,0x6125ea331851367716bee301ecde7f38a7e429e7,149,49679666250285158060738406,49750000000000000000000000
stakeDelegates,11818178,0x605c8418be0667a74c4f06a26246d0bbb61cb267,0x01888eb9c61bd1ec2fb0310e16a96ac41118290a6e9a91c59d4793e42292be91-131,0xb06071394531b63b0bac78f27e12dc2beaa913e4,131,6765184874931907168618,6965000000000000000000
stakeDelegates,11828097,0x9af906c01f75154dd3402dfa441c7a4251c3201f,0x0011b573b9929af8022238e4bf2129ec3f18707b859bf6a8e2fe86824acd84f2-122,0x5a8904be09625965d9aec4bffd30d853438a053e,122,2219750089815380802995,2288500000000000000000
stakeDelegates,11828097,0x9af906c01f75154dd3402dfa441c7a4251c3201f,0x0011b573b9929af8022238e4bf2129ec3f18707b859bf6a8e2fe86824acd84f2-122,0x5a8904be09625965d9aec4bffd30d853438a053e,122,2219750089815380802995,2288500000000000000000
stakeDelegates,11832460,0x1823d892cc44b50fe506b89db8da9426218cdb76,0x0162017c60a49c634618608e0a078e05b9f5919b7058dc1d3c19a03cc74a9a02-53,0x5a8904be09625965d9aec4bffd30d853438a053e,53,904534236597134899157,932955684539700000000
