id,logIndex,blockNumber,indexer,indexingRewardCut,queryFeeCut,type
0xb6d58253d68eb1d82439c632d11875a01976e4cb01149c4c98e0ca9751d1e39c-234,234,12138061,0xa3276e7ab0a162f6a3b5aa6b3089accbaa65d12e,153000,153000,delegationParametersUpdateds
0xf3959b89e8ea3789a1d4ae26063bfa6e22306479faf4bfb1681d01aedec7618f-187,187,12138097,0x7697a886fc3b71a8a88487019337a6bbe5838f1a,153200,153200,delegationParametersUpdateds
0x1c27919610c3f083ec0f7c38e9d8c2a475ce6b0def450ff0b4e1e6db859f5290-267,267,12138960,0x03db85e86779febdd96d96ba43ac48382fb1a88d,423000,423000,delegationParametersUpdateds
0x585a70438d74cc0e2a54f92d7953cfd7313efc6f1bf61f2fcd8a3e1a1d66b6ed-139,139,12139098,0xeb8ca82006e0c0fb16cf9fc42e15bf3e9cdf73f9,970000,100000,delegationParametersUpdateds
0x17b33840f99bf752c4bdc7fa4ea9ae9ae68f5ed36872e36874f61b1990032d68-357,357,12139838,0x19755b22a68bb72e649f8faafdbb549ed3ea75d2,600000,950000,delegationParametersUpdateds
0x6b7acf483c494e66fd56010d0037e2ac65007a04926f3c475e7d1b3422aa1ddc-49,49,12140493,0xf7a36339f75ffaf058be67fd2a1764fb84eb5d87,937200,937200,delegationParametersUpdateds
0x4829304c289a976f05e7f6b46d9edc622ce6f7fb1ac7038e71e21c73fd8dd397-102,102,12140550,0x57c6ca1effe6c676d93225a122f41eb24708edd9,1000000,1000000,delegationParametersUpdateds
0x8fdd8a4447836e4a093ec43cf987d5ad0645dd8cecd3dcb0e98306f9c869f523-197,197,12141186,0x6980fd6c85a98df8180123951e46d673b456699c,1000000,1000000,delegationParametersUpdateds
0x4e0e8ed5fd5c5b7a1bd908fef6df92927571b84ff6c2d81aa86e10332749eedb-253,253,12141298,0xd93456bf656436e66a8e0a8835c43a6f59afbb37,260000,260000,delegationParametersUpdateds
0xc0378f15489bee81cfb26974c9885f5536aee4470df2bddf1c4d719cff3b9401-231,231,12142080,0x671bc7a0ffa02b0ee90ee03bcd11915df011503a,257000,257000,delegationParametersUpdateds
