id,blockNumber,logIndex,indexer,delegator,tokens,type
0x178ec16aebc2404c06ee92bf389edbdc47d42d7a6d0ff873febaba89f90c1dd2-55,13014710,55,0x4d6a8776a164776c93618233a0003e8894e7e6c2,0xe2d1f13732b29371abae558e63616195814b2a61,863118629022022500035,stakeDelegatedWithdrawns
0xa9a10e2de44ca0499012515ad16911e2f87d0740c873e8f00d99621b9bfb8f69-363,13015188,363,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,0xe5cfe750d87dc62d9ebb5ffbd286307ef2c3d67e,9973570321647818498439,stakeDelegatedWithdrawns
0x20615b390e2fdaf9d1f93764d8536cc034e90d8c47c73ca75b6c9093028724e6-327,13015230,327,0x5a8904be09625965d9aec4bffd30d853438a053e,0x45b7edda606d814048e4ff9884c0b56b0b82a0a6,5278270045332557438530,stakeDelegatedWithdrawns
0x9a9788a4a3cbca01dc3233fc4a31fd87637de7ab763c33d043ab0c5c8e148883-254,13015389,254,0x4d6a8776a164776c93618233a0003e8894e7e6c2,0x6563f9e9648e47f7e701f644996600b7f40955d6,10317576985362695540951,stakeDelegatedWithdrawns
0xd9df3a7ba0ee46336cc40e3e1561bb484c400d83bce3efa9a184f3a8e995dec3-53,13015516,53,0x5a8904be09625965d9aec4bffd30d853438a053e,0x22f1041c77cc5964cc83d88d09f623f6895bcf3e,1542659943945174437343,stakeDelegatedWithdrawns
0x2c007dbf9be398ec66ea1baee075a670d933226db6b4ffb0ff0c76a9b5116e99-285,13015558,285,0x5a8904be09625965d9aec4bffd30d853438a053e,0xbf9b6841495383d5c4da1756b754881425e518c0,31332088419079574424757,stakeDelegatedWithdrawns
0x60d19470bb74091267c19cf39267c55940fe1be8a432e9afe64ff42fbf8d19bc-191,13016027,191,0x5a8904be09625965d9aec4bffd30d853438a053e,0x26bbec292e5080ecfd36f38ff1619ff35826b113,216653840948513608533,stakeDelegatedWithdrawns
0x7fef96f80a531c5f7ec6cea3f5ec188016f911bb33f159c9a671c817207a520a-221,13016343,221,0xb06071394531b63b0bac78f27e12dc2beaa913e4,0xda0e43110eed52e4c1fa6284a44fd0e23aa4b61c,46658899637502278508577,stakeDelegatedWithdrawns
0xd7da26f9318a8c3f62dd032bf114f9b8a75f1a7241b4067f2713bcc038c35a97-306,13018270,306,0x5a8904be09625965d9aec4bffd30d853438a053e,0xf9ae805730b8fa96cbc779bb9c1b1fd360dcde5b,670751348228349292466,stakeDelegatedWithdrawns
0xedc9e717ce1193e007285dd2878828cd3d00307d8b48f4e7de4c2ae247a558fc-208,13021581,208,0xbb784d9b398271b7a64f975bebde869409691915,0x22f20026d9cdadd73a3a5e43fa614200ead5abbb,12646868531350201089151,stakeDelegatedWithdrawns
0x341f28cef919e9e510c8fd11174de45a6bcaba14c58a499a733ca32ee2018338-210,13022028,210,0x85fe868adf7f5950b052469075556fb207e5372d,0x1b9b40975d6d64852d6de3a5b0cf795cc9e03f8d,2033611188505852785490,stakeDelegatedWithdrawns
0xb84ba148b358f210758cef821b21361d026030700610145b91042f018bb0a08c-521,13023853,521,0x5a8904be09625965d9aec4bffd30d853438a053e,0x9b344d14f83ebdb02758751ffb605a8c5f240195,2501918032859335622972,stakeDelegatedWithdrawns
0x866f44951cd101acdbabb37cf016cc46dec736ea30fafbb639f1d95264881fd7-112,13024030,112,0x7ddf0c8cb0167870bf7cc5368792c93aeeb15430,0xcfe1f5aede77a1e2bfa88c83b0424e2eb381f0eb,2532537629239186979989,stakeDelegatedWithdrawns
0x109013bc580263e67b135fc5653911dabb49088ace71f12cda61b05dd680d0b5-423,13024032,423,0x7ddf0c8cb0167870bf7cc5368792c93aeeb15430,0xd327a2fdcff48ae62660893ff46e72624cc3f719,5077706765082853141541,stakeDelegatedWithdrawns
0x62ae128b98ad498b3d9dc6822f002699ab31ffc854a87ef699f9e7ea7b98c528-344,13024075,344,0x5a8904be09625965d9aec4bffd30d853438a053e,0x16718b4f1771ee261a3b61b2112ab69a89824f8c,8162314246318860754253,stakeDelegatedWithdrawns
0x7b88e3dcc7e0e1c0693fef5ed38aa606e66f6008fc8769514c3f3ea21222176e-403,13025449,403,0xb06071394531b63b0bac78f27e12dc2beaa913e4,0x5983a6297593c4bfd2cd288ba2ab6c9771e4a9bf,1022639858846778766069,stakeDelegatedWithdrawns
0xfb4f83916a3da34bc948b36f606e82ad555d883cabde0a6d0444e344fb45c13d-205,13025717,205,0xc60d0c8c74b5d3a33ed51c007ebae682490de261,0x070eed59f1bed120db856259a96f1e439a084b17,226026151368715690990,stakeDelegatedWithdrawns
0xd26bd34eb8e9f321784963d653d4782fcdc3745f3f08258b138afc24b87654e0-400,13026033,400,0x5a8904be09625965d9aec4bffd30d853438a053e,0xe00a7208ea3fdb63f9e8fd0e4bb1473d29c2b85b,2500000000000000000165,stakeDelegatedWithdrawns
0x50ed9bad5f895e81eb63ca6d3e7f80cfd6db087962462c736ca4b4224717af57-180,13026440,180,0x19fbac0891042be71ce60321a17720358575f580,0x9d8e3fdac0cfe4dd2baed781637d4c286a2a9a30,5193846918587823544354,stakeDelegatedWithdrawns
0x9ce97d1f179617ba569ffce7731a1a192ed424e00643840861051fd2a1ee6a47-355,13027138,355,0x5a8904be09625965d9aec4bffd30d853438a053e,0x64e59ee7eb74c4d4a0cd45fd980cae2d9e4c9c45,25383423072997913989435,stakeDelegatedWithdrawns
0x72ff1589f76c7961559f3afbe4ed2f3b3e63a0a4acaed6797f5bae0a4001b899-297,13027428,297,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,0x5dbd55c9a9a345591e3babe4d1801f6149a3154c,2056953660407168040976,stakeDelegatedWithdrawns
0x063ebab1ef5aa306a1cad81019bc28c7a171cab6dfbf97524d0e1af942653fa7-523,13028599,523,0xbe9d7c691792937ca7e2535652886ff390cc5b86,0x455786baedfb75d9b9aef5300080fd89bcc9a8be,293784038340840275018118,stakeDelegatedWithdrawns
0x2834140282dd096ba3c8a82ea4fbd7fefb773ed826e0022e21a35b0450ff9934-297,13029111,297,0x7ddf0c8cb0167870bf7cc5368792c93aeeb15430,0x58f7b1786cd5a7b292ebe0da8c8ce9dd32d8335d,12973401027132709705321,stakeDelegatedWithdrawns
