         2900107660 function calls (2375386070 primitive calls) in 2180.488 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       24    0.000    0.000    0.001    0.000 common.py:1519(_is_dtype)
        1    0.000    0.000    0.001    0.001 generic.py:3518(take)
       24    0.000    0.000    0.001    0.000 cast.py:1312(soft_convert_objects)
       35    0.000    0.000    0.001    0.000 {built-in method builtins.any}
      157    0.000    0.000    0.001    0.000 generic.py:5480(__setattr__)
      189    0.001    0.000    0.001    0.000 revenue.py:148(calculate_revenue_to_indexer_pool)
       25    0.000    0.000    0.001    0.000 managers.py:970(iget)
       25    0.000    0.000    0.001    0.000 frame.py:3855(_box_col_values)
       24    0.000    0.000    0.001    0.000 common.py:561(condition)
       39    0.000    0.000    0.001    0.000 construction.py:463(sanitize_array)
        1    0.000    0.000    0.001    0.001 managers.py:833(take)
        5    0.000    0.000    0.001    0.000 construction.py:558(_homogenize)
       24    0.000    0.000    0.001    0.000 common.py:564(is_excluded_dtype)
        1    0.000    0.000    0.001    0.001 transport.py:28(<module>)
        1    0.000    0.000    0.001    0.001 frame.py:3769(_set_item)
       24    0.000    0.000    0.001    0.000 blocks.py:246(make_block)
        1    0.000    0.000    0.001    0.001 concat.py:315(__init__)
     1529    0.001    0.000    0.001    0.000 heuristic_agent.py:27(generateStrategies)
       44    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
      183    0.000    0.000    0.001    0.000 construction.py:369(extract_array)
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1556(_fill_cache)
        1    0.000    0.000    0.000    0.000 worker.py:8(<module>)
        1    0.000    0.000    0.000    0.000 concat.py:481(get_result)
        2    0.000    0.000    0.000    0.000 common.py:54(new_method)
        1    0.000    0.000    0.000    0.000 concat.py:547(_get_new_axes)
        1    0.000    0.000    0.000    0.000 frame.py:3744(_set_item_mgr)
       76    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1337(_path_importer_cache)
       36    0.000    0.000    0.000    0.000 cast.py:1586(maybe_cast_to_datetime)
        1    0.000    0.000    0.000    0.000 concat.py:549(<listcomp>)
       96    0.000    0.000    0.000    0.000 common.py:569(<genexpr>)
       90    0.000    0.000    0.000    0.000 typing.py:269(inner)
        1    0.000    0.000    0.000    0.000 managers.py:1137(insert)
        1    0.000    0.000    0.000    0.000 managers.py:1906(_multi_blockify)
        1    0.000    0.000    0.000    0.000 core.py:8(<module>)
        1    0.000    0.000    0.000    0.000 managers.py:622(reindex_indexer)
       48    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:156(__enter__)
        1    0.000    0.000    0.000    0.000 managers.py:673(<listcomp>)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1324(_path_hooks)
        1    0.000    0.000    0.000    0.000 re.py:250(compile)
        1    0.000    0.000    0.000    0.000 re.py:289(_compile)
       68    0.000    0.000    0.000    0.000 blocks.py:1875(get_block_type)
      282    0.000    0.000    0.000    0.000 revenue.py:15(<listcomp>)
        1    0.000    0.000    0.000    0.000 sre_compile.py:759(compile)
        2    0.000    0.000    0.000    0.000 blocks.py:1122(take_nd)
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
       45    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        8    0.000    0.000    0.000    0.000 {built-in method nt.listdir}
       57    0.000    0.000    0.000    0.000 blocks.py:1843(maybe_coerce_values)
        2    0.000    0.000    0.000    0.000 take.py:54(take_nd)
       50    0.000    0.000    0.000    0.000 base.py:3317(get_loc)
        2    0.000    0.000    0.000    0.000 take.py:111(_take_nd_ndarray)
        1    0.000    0.000    0.000    0.000 arraylike.py:30(__eq__)
        1    0.000    0.000    0.000    0.000 series.py:5491(_cmp_method)
      100    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
     1004    0.000    0.000    0.000    0.000 generic.py:43(_check)
       52    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
       50    0.000    0.000    0.000    0.000 managers.py:158(blknos)
        1    0.000    0.000    0.000    0.000 generic.py:10797(max)
       52    0.000    0.000    0.000    0.000 series.py:627(name)
        8    0.000    0.000    0.000    0.000 base.py:6398(_maybe_cast_data_without_dtype)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(_get_spec)
        1    0.000    0.000    0.000    0.000 generic.py:10354(max)
       88    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        6    0.000    0.000    0.000    0.000 managers.py:224(_rebuild_blknos_and_blklocs)
        9    0.000    0.000    0.000    0.000 typing.py:822(__getitem__)
       32    0.000    0.000    0.000    0.000 generic.py:5426(__finalize__)
        1    0.000    0.000    0.000    0.000 generic.py:10315(_stat_function)
       77    0.000    0.000    0.000    0.000 base.py:263(is_dtype)
        4    0.000    0.000    0.000    0.000 generic.py:5818(copy)
      668    0.000    0.000    0.000    0.000 {method 'is_zero' of 'decimal.Decimal' objects}
        1    0.000    0.000    0.000    0.000 series.py:4358(_reduce)
      355    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:114(<listcomp>)
       45    0.000    0.000    0.000    0.000 base.py:41(shape)
       50    0.000    0.000    0.000    0.000 base.py:5696(_maybe_cast_indexer)
        1    0.000    0.000    0.000    0.000 sre_parse.py:937(parse)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1597(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 concat.py:554(_get_comb_axis)
       24    0.000    0.000    0.000    0.000 blocks.py:618(_can_hold_element)
       61    0.000    0.000    0.000    0.000 generic.py:230(__init__)
      3/1    0.000    0.000    0.000    0.000 sre_parse.py:435(_parse_sub)
        1    0.000    0.000    0.000    0.000 concat.py:564(_get_concat_axis)
      3/1    0.000    0.000    0.000    0.000 sre_parse.py:493(_parse)
        1    0.000    0.000    0.000    0.000 api.py:69(get_objs_combined_axis)
       31    0.000    0.000    0.000    0.000 generic.py:5549(_consolidate_inplace)
       69    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
        1    0.000    0.000    0.000    0.000 base.py:5262(get_indexer_for)
       73    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.000    0.000 base.py:3426(get_indexer)
        1    0.000    0.000    0.000    0.000 base.py:5957(insert)
       24    0.000    0.000    0.000    0.000 missing.py:259(_isna_string_dtype)
        1    0.000    0.000    0.000    0.000 api.py:113(_get_combined_index)
       56    0.000    0.000    0.000    0.000 cast.py:1474(maybe_infer_to_datetimelike)
        1    0.000    0.000    0.000    0.000 concat.py:622(_concat_indexes)
      100    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:87(acquire)
    82/78    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       24    0.000    0.000    0.000    0.000 putmask.py:173(validate_putmask)
       10    0.000    0.000    0.000    0.000 typing.py:831(copy_with)
       33    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 simulation.py:12(Executor)
       68    0.000    0.000    0.000    0.000 common.py:190(is_sparse)
        1    0.000    0.000    0.000    0.000 base.py:4652(append)
       31    0.000    0.000    0.000    0.000 generic.py:5535(_protect_consolidate)
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
       24    0.000    0.000    0.000    0.000 common.py:422(is_period_dtype)
       53    0.000    0.000    0.000    0.000 common.py:1718(validate_all_hashable)
       38    0.000    0.000    0.000    0.000 construction.py:671(_try_cast)
       10    0.000    0.000    0.000    0.000 typing.py:729(__init__)
        1    0.000    0.000    0.000    0.000 nanops.py:119(f)
        1    0.000    0.000    0.000    0.000 process.py:10(<module>)
       35    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.000    0.000 reduction.py:10(<module>)
       11    0.000    0.000    0.000    0.000 managers.py:877(__init__)
        8    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
        1    0.000    0.000    0.000    0.000 base.py:4682(_concat)
      100    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:112(release)
     1336    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 nanops.py:395(new_func)
       37    0.000    0.000    0.000    0.000 common.py:388(is_timedelta64_dtype)
        1    0.000    0.000    0.000    0.000 array_ops.py:229(comparison_op)
        1    0.000    0.000    0.000    0.000 sre_compile.py:598(_code)
        1    0.000    0.000    0.000    0.000 arraylike.py:90(__add__)
       24    0.000    0.000    0.000    0.000 generic.py:1927(__contains__)
       24    0.000    0.000    0.000    0.000 putmask.py:29(putmask_inplace)
        4    0.000    0.000    0.000    0.000 managers.py:570(copy)
       33    0.000    0.000    0.000    0.000 _methods.py:54(_any)
        1    0.000    0.000    0.000    0.000 nanops.py:996(reduction)
       51    0.000    0.000    0.000    0.000 allocation.py:2(__init__)
        1    0.000    0.000    0.000    0.000 series.py:2915(_construct_result)
       25    0.000    0.000    0.000    0.000 common.py:458(is_interval_dtype)
       96    0.000    0.000    0.000    0.000 revenue.py:25(<listcomp>)
        1    0.000    0.000    0.000    0.000 range.py:881(_arith_method)
